province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
Guam,US,01-07-20,13.4443,144.7937,POINT(144.7937 13.4443),267,5,0,262,66,,
Guam,US,11-04-20,13.4443,144.7937,POINT(144.7937 13.4443),133,5,0,0,66,,
Guam,US,17-06-20,13.4443,144.7937,POINT(144.7937 13.4443),188,5,0,183,66,,
Guam,US,06-07-20,13.4443,144.7937,POINT(144.7937 13.4443),301,5,0,296,66,,
Guam,US,17-04-20,13.4443,144.7937,POINT(144.7937 13.4443),136,5,0,131,66,,
Guam,US,05-07-20,13.4443,144.7937,POINT(144.7937 13.4443),280,5,0,275,66,,
Guam,US,05-05-20,13.4443,144.7937,POINT(144.7937 13.4443),145,5,0,140,66,,
Guam,US,08-06-20,13.4443,144.7937,POINT(144.7937 13.4443),179,5,0,174,66,,
Guam,US,14-06-20,13.4443,144.7937,POINT(144.7937 13.4443),183,5,0,178,66,,
Guam,US,05-06-20,13.4443,144.7937,POINT(144.7937 13.4443),179,5,0,174,66,,
Guam,US,11-05-20,13.4443,144.7937,POINT(144.7937 13.4443),151,5,0,146,66,,
Guam,US,27-03-20,13.4443,144.7937,POINT(144.7937 13.4443),51,1,0,0,66000,,
Guam,US,27-04-20,13.4443,144.7937,POINT(144.7937 13.4443),141,5,0,136,66,,
Guam,US,11-06-20,13.4443,144.7937,POINT(144.7937 13.4443),183,5,0,178,66,,
Guam,US,27-05-20,13.4443,144.7937,POINT(144.7937 13.4443),170,5,0,165,66,,
Guam,US,03-05-20,13.4443,144.7937,POINT(144.7937 13.4443),145,5,0,140,66,,
Guam,US,03-04-20,13.4443,144.7937,POINT(144.7937 13.4443),84,4,0,0,66,,
Guam,US,20-04-20,13.4443,144.7937,POINT(144.7937 13.4443),136,5,0,131,66,,
Guam,US,27-06-20,13.4443,144.7937,POINT(144.7937 13.4443),247,5,0,242,66,,
Guam,US,20-05-20,13.4443,144.7937,POINT(144.7937 13.4443),154,5,0,149,66,,
Guam,US,20-06-20,13.4443,144.7937,POINT(144.7937 13.4443),222,5,0,217,66,,
Guam,US,14-04-20,13.4443,144.7937,POINT(144.7937 13.4443),133,5,0,128,66,,
Guam,US,14-05-20,13.4443,144.7937,POINT(144.7937 13.4443),152,5,0,147,66,,
Guam,US,08-05-20,13.4443,144.7937,POINT(144.7937 13.4443),151,5,0,146,66,,
Guam,US,03-07-20,13.4443,144.7937,POINT(144.7937 13.4443),280,5,0,275,66,,
Guam,US,08-04-20,13.4443,144.7937,POINT(144.7937 13.4443),121,4,0,0,66,,
Guam,US,03-06-20,13.4443,144.7937,POINT(144.7937 13.4443),177,5,0,172,66,,
Guam,US,22-05-20,13.4443,144.7937,POINT(144.7937 13.4443),165,5,0,160,66,,
Guam,US,28-06-20,13.4443,144.7937,POINT(144.7937 13.4443),247,5,0,242,66,,
Guam,US,22-04-20,13.4443,144.7937,POINT(144.7937 13.4443),136,5,0,131,66,,
Guam,US,22-06-20,13.4443,144.7937,POINT(144.7937 13.4443),222,5,0,217,66,,
Guam,US,22-03-20,13.4443,144.7937,POINT(144.7937 13.4443),27,1,0,0,66000,,
Guam,US,28-03-20,13.4443,144.7937,POINT(144.7937 13.4443),55,1,0,0,66000,,
Guam,US,19-06-20,13.4443,144.7937,POINT(144.7937 13.4443),200,5,0,195,66,,
Guam,US,19-05-20,13.4443,144.7937,POINT(144.7937 13.4443),154,5,0,149,66,,
Guam,US,31-03-20,13.4443,144.7937,POINT(144.7937 13.4443),69,2,0,0,66000,,
Guam,US,28-04-20,13.4443,144.7937,POINT(144.7937 13.4443),141,5,0,136,66,,
Guam,US,28-05-20,13.4443,144.7937,POINT(144.7937 13.4443),171,5,0,166,66,,
Guam,US,19-04-20,13.4443,144.7937,POINT(144.7937 13.4443),136,5,0,131,66,,
Guam,US,04-05-20,13.4443,144.7937,POINT(144.7937 13.4443),145,5,0,140,66,,
Guam,US,04-07-20,13.4443,144.7937,POINT(144.7937 13.4443),280,5,0,275,66,,
Guam,US,04-06-20,13.4443,144.7937,POINT(144.7937 13.4443),179,5,0,174,66,,
Guam,US,13-06-20,13.4443,144.7937,POINT(144.7937 13.4443),183,5,0,178,66,,
Guam,US,31-05-20,13.4443,144.7937,POINT(144.7937 13.4443),172,5,0,167,66,,
Guam,US,13-04-20,13.4443,144.7937,POINT(144.7937 13.4443),133,5,0,128,66,,
Guam,US,13-05-20,13.4443,144.7937,POINT(144.7937 13.4443),152,5,0,147,66,,
Guam,US,04-04-20,13.4443,144.7937,POINT(144.7937 13.4443),93,4,0,0,66,,
Guam,US,12-06-20,13.4443,144.7937,POINT(144.7937 13.4443),183,5,0,178,66,,
Iowa,US,12-05-20,,,,6,0,0,6,90019,Unassigned,
Iowa,US,18-04-20,,,,1,0,0,1,90019,Unassigned,
Iowa,US,29-04-20,,,,20,0,0,20,90019,Unassigned,
Iowa,US,12-04-20,,,,0,6,0,-6,90019,Unassigned,
Iowa,US,18-05-20,,,,9,0,0,9,90019,Unassigned,
Iowa,US,18-06-20,,,,7,0,0,7,90019,Unassigned,
Iowa,US,30-06-20,,,,3,0,0,3,90019,Unassigned,
Iowa,US,30-05-20,,,,6,0,0,6,90019,Unassigned,
Iowa,US,23-06-20,,,,5,0,0,5,90019,Unassigned,
Iowa,US,05-04-20,,,,0,0,0,0,90019,Unassigned,
Iowa,US,23-05-20,,,,2,0,0,2,90019,Unassigned,
Iowa,US,23-04-20,,,,3,0,0,3,90019,Unassigned,
Iowa,US,29-05-20,,,,1,0,0,1,90019,Unassigned,
Iowa,US,29-06-20,,,,6,0,0,6,90019,Unassigned,
Iowa,US,02-07-20,,,,7,0,0,7,90019,Unassigned,
Iowa,US,02-06-20,,,,3,0,0,3,90019,Unassigned,
Iowa,US,02-05-20,,,,95,0,0,95,90019,Unassigned,
Iowa,US,30-04-20,,,,24,0,0,24,90019,Unassigned,
Iowa,US,02-04-20,,,,0,1,0,0,90019,Unassigned,
Iowa,US,24-04-20,,,,4,0,0,4,90019,Unassigned,
Iowa,US,09-04-20,,,,0,3,0,0,90019,Unassigned,
Iowa,US,09-05-20,,,,3,0,0,3,90019,Unassigned,
Iowa,US,15-06-20,,,,6,0,0,6,90019,Unassigned,
Iowa,US,15-04-20,,,,0,0,0,0,90019,Unassigned,
Iowa,US,09-06-20,,,,4,0,0,4,90019,Unassigned,
Iowa,US,21-04-20,,,,21,0,0,21,90019,Unassigned,
Iowa,US,15-05-20,,,,10,0,0,10,90019,Unassigned,
Iowa,US,21-05-20,,,,14,0,0,14,90019,Unassigned,
Iowa,US,21-06-20,,,,5,0,0,5,90019,Unassigned,
Iowa,US,26-04-20,,,,6,0,0,6,90019,Unassigned,
Iowa,US,26-06-20,,,,4,0,0,4,90019,Unassigned,
Iowa,US,26-05-20,,,,2,0,0,2,90019,Unassigned,
Iowa,US,25-06-20,,,,9,0,0,9,90019,Unassigned,
Iowa,US,25-04-20,,,,5,0,0,5,90019,Unassigned,
Iowa,US,16-04-20,,,,0,0,0,0,90019,Unassigned,
Iowa,US,10-05-20,,,,0,0,0,0,90019,Unassigned,
Iowa,US,25-05-20,,,,6,0,0,6,90019,Unassigned,
Iowa,US,10-06-20,,,,4,0,0,4,90019,Unassigned,
Iowa,US,01-06-20,,,,1,0,0,1,90019,Unassigned,
Iowa,US,01-05-20,,,,63,0,0,63,90019,Unassigned,
Iowa,US,07-04-20,,,,0,1,0,0,90019,Unassigned,
Iowa,US,16-06-20,,,,5,0,0,5,90019,Unassigned,
Iowa,US,16-05-20,,,,15,0,0,15,90019,Unassigned,
Iowa,US,10-04-20,,,,0,3,0,0,90019,Unassigned,
Iowa,US,07-05-20,,,,8,0,0,8,90019,Unassigned,
Iowa,US,07-06-20,,,,4,0,0,4,90019,Unassigned,
Iowa,US,06-04-20,,,,0,0,0,0,90019,Unassigned,
Iowa,US,06-05-20,,,,13,0,0,13,90019,Unassigned,
Iowa,US,06-06-20,,,,9,0,0,9,90019,Unassigned,
Iowa,US,24-06-20,,,,5,0,0,5,90019,Unassigned,
Iowa,US,24-05-20,,,,3,0,0,3,90019,Unassigned,
Iowa,US,17-05-20,,,,8,0,0,8,90019,Unassigned,
Iowa,US,01-07-20,,,,4,0,0,4,90019,Unassigned,
Iowa,US,11-04-20,,,,0,6,0,0,90019,Unassigned,
Iowa,US,17-06-20,,,,5,0,0,5,90019,Unassigned,
Iowa,US,06-07-20,,,,17,0,0,17,90019,Unassigned,
Iowa,US,17-04-20,,,,1,0,0,1,90019,Unassigned,
Iowa,US,05-07-20,,,,16,0,0,16,90019,Unassigned,
Iowa,US,05-05-20,,,,0,0,0,0,90019,Unassigned,
Iowa,US,08-06-20,,,,4,0,0,4,90019,Unassigned,
Iowa,US,14-06-20,,,,5,0,0,5,90019,Unassigned,
Iowa,US,05-06-20,,,,2,0,0,2,90019,Unassigned,
Iowa,US,11-05-20,,,,5,0,0,5,90019,Unassigned,
Iowa,US,27-04-20,,,,7,0,0,7,90019,Unassigned,
Iowa,US,11-06-20,,,,8,0,0,8,90019,Unassigned,
Iowa,US,27-05-20,,,,8,0,0,8,90019,Unassigned,
Iowa,US,03-05-20,,,,124,0,0,124,90019,Unassigned,
Iowa,US,03-04-20,,,,0,1,0,0,90019,Unassigned,
Iowa,US,20-04-20,,,,2,0,0,2,90019,Unassigned,
Iowa,US,27-06-20,,,,4,0,0,4,90019,Unassigned,
Iowa,US,20-05-20,,,,8,0,0,8,90019,Unassigned,
Iowa,US,20-06-20,,,,5,0,0,5,90019,Unassigned,
Iowa,US,14-04-20,,,,0,6,0,-6,90019,Unassigned,
Iowa,US,14-05-20,,,,8,0,0,8,90019,Unassigned,
Iowa,US,08-05-20,,,,17,0,0,17,90019,Unassigned,
Iowa,US,03-07-20,,,,7,0,0,7,90019,Unassigned,
